"golden","state","num_trusted_judgment","birthplace","date_of_birth","race_ethnicity","religion","sexual_orientation","year_of_award","award","bio_url","movie","person"
"FALSE","finalized","3","New York City","1937-04-22T00:00:00.000Z","White","Atheist","Straight","1976","Best Actor","http://www.nndb.com/people/722/000022656/","One Flew Over the Cuckoo's Nest","Jack Nicholson"
"FALSE","finalized","3","South Kensington, London, England","1916-09-28T00:00:00.000Z","White","Na","Straight","1977","Best Actor","http://www.nndb.com/people/745/000063556/","Network","Peter Finch"
"FALSE","finalized","3","Brooklyn, Ny","1947-10-29T00:00:00.000Z","White","Jewish","Straight","1978","Best Actor","http://www.nndb.com/people/814/000022748/","The Goodbye Girl","Richard Dreyfuss"
"FALSE","finalized","3","Yonkers, Ny","1938-12-29T00:00:00.000Z","White","Roman Catholic","Straight","1979","Best Actor","http://www.nndb.com/people/060/000023988/","Coming Home","Jon Voight"
"FALSE","finalized","3","Los Angeles, Ca","1937-08-08T00:00:00.000Z","White","Jewish","Straight","1980","Best Actor","http://www.nndb.com/people/882/000022816/","Kramer vs. Kramer","Dustin Hoffman"
"FALSE","finalized","3","New York City","1943-08-17T00:00:00.000Z","White","Roman Catholic","Straight","1981","Best Actor","http://www.nndb.com/people/765/000023696/","Raging Bull","Robert De Niro"
"FALSE","finalized","3","Grand Island, Ne","1905-05-16T00:00:00.000Z","White","Na","Straight","1982","Best Actor","http://www.nndb.com/people/496/000026418/","On Golden Pond","Henry Fonda"
"FALSE","finalized","3","Scarborough, Yorkshire, England","1943-12-31T00:00:00.000Z","Multiracial","Quaker","Straight","1983","Best Actor","http://www.nndb.com/people/519/000024447/","Gandhi","Ben Kingsley"
"FALSE","finalized","3","San Diego, Ca","1931-01-05T00:00:00.000Z","White","Na","Straight","1984","Best Actor","http://www.nndb.com/people/008/000022939/","Tender Mercies","Robert Duvall"
"FALSE","finalized","3","Pittsburgh, Pa","1939-10-24T00:00:00.000Z","Middle Eastern","Na","Straight","1985","Best Actor","http://www.nndb.com/people/123/000024051/","Amadeus","F. Murray Abraham"
